# e621 계열 어휘 — Danbooru 학습 모델이 못 그린다(정책 제외 아님)
# 태그	빈도	서브그룹
8 breasts	843	-
vaginal canal	839	-
vaginal fluids puddle	836	-
egg from ass	835	-
mutual handjob	835	-
heavy thrusting	835	-
clothed to nude	834	-
tight orifice	834	-
penis close-up	832	-
husband penetrating wife	830	-
anal juice on penis	825	-
between butts	824	-
bodyjob	821	-
father penetrating daughter	817	-
tickling genitalia	817	-
gaming while penetrated	816	-
ball stretcher	813	-
glistening bodily fluids	812	-
8 nipples	812	-
crotch apron	810	-
cum in pants	809	-
condom suit	807	-
anal piercing	807	-
forced spreading legs	804	-
kiss mark on balls	801	-
collaborative hot dogging	798	-
dominant ambiguous	797	-
multiple cock rings	796	-
pressing breasts together	794	-
oral while penetrating	793	-
vaginal fisting	788	-
sergal penis	785	-
vaginal fluids on tongue	785	-
obscured vaginal	784	-
reverse piledriver position	782	-
looking down at genitalia	781	-
pregnant andromorph	780	-
sucked silly	779	-
pacifier gag	778	-
sock fetish	777	-
outercourse	775	-
big glans	774	-
marsupial penis	773	-
arthropod abdomen vulva	772	-
strapon in ass	772	-
ball inflation	771	-
saliva on breasts	769	-
female raping male	769	-
cum on glasses	768	-
fuck bench	766	-
sitting on penis	765	-
blood from penis	765	-
shaking orgasm	764	-
describing penis	762	-
tentacles around legs	761	-
presenting panties	760	-
cum in water	760	-
upside down fellatio	759	-
writing on genitals	758	-
unusual vulva placement	758	-
cum in ear	758	-
vaginal fluids on face	757	-
tentacle tongue	753	-
faceless intersex	752	-
tentacles on female	752	-
cum in penis	751	-
darkened perineum	751	-
fellatio pov	747	-
